"","rowname","colname","p_F","R_F"
"1","Erythrose-4-Phosphate","G1P/F1P/F6P",5.4538344080878e-200,0.988669950738916
"2","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",5.16501228534582e-169,0.96551724137931
"3","2-Aminoisobutyric Acid","3-Aminoisobutyrate",2.38581671765076e-163,0.983743842364532
"4","G1P/F1P/F6P","G6P",8.76104128866714e-160,0.983251231527093
"5","Erythrose-4-Phosphate","G6P",9.69115698912061e-158,0.988669950738916
"6","Azelaic Acid","Suberic Acid",3.59732851715791e-156,0.948768472906404
"7","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",6.73138228299589e-154,0.944334975369458
"8","Cadaverine","Oxalacetate",1.1236543300212e-147,0.955172413793103
"9","Guanosine","Xanthosine",4.12645900974377e-143,0.986206896551724
"10","S-Methylcysteine","Tyrosine",5.40281787340411e-136,0.966995073891626
"11","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",1.55466464739858e-130,0.959605911330049
"12","Glycerol-3-P","Homocitrulline",3.11142013464171e-118,0.97192118226601
"13","2-Hydroxyphenylacetate","Cholecalciferol",1.50936671401381e-114,0.840886699507389
"14","Glucosamine","Glyceraldehyde",3.32664915655911e-114,0.927093596059113
"15","1-Methylnicotinamide","Cadaverine",6.56450962160644e-114,0.943349753694581
"16","Lactose/Trehalose","UMP",1.90766737541029e-113,0.975862068965517
"17","2-Hydroxyphenylacetate","Glutaric Acid",1.48214074419704e-112,0.815763546798029
"18","1-Methylnicotinamide","Oxalacetate",1.68647263997537e-111,0.924630541871921
"19","Cholecalciferol","Glutaric Acid",1.90774442471373e-110,0.785221674876847
"20","2-Hydroxyphenylacetate","Maleic Acid",2.31928119217981e-109,0.779802955665024
"21","Glutaric Acid","Maleic Acid",6.82788748084418e-105,0.830541871921182
"22","Pyridoxamine","Urate",1.03260040657213e-103,0.88423645320197
"23","Azelaic Acid","Glutaric Acid",2.02195816390854e-103,0.895566502463054
"24","N-AcetylGlycine","Suberic Acid",6.35384436377243e-102,0.851724137931034
"25","cAMP","cGMP",2.75630294704182e-101,0.914285714285714
"26","Adipic Acid / 3-Methylglutaric Acid","N-AcetylGlycine",1.20510091612978e-100,0.851231527093596
"27","Glutaric Acid","Suberic Acid",1.22900862672654e-100,0.885714285714285
"28","Argininosuccinate","Succinylcarnitine",3.02275997304357e-100,0.791133004926108
"29","2-Hydroxyphenylacetate","Hydrocinnamic Acid",5.27602906302195e-100,0.852709359605911
"30","Deoxyguanosine","Guanine",1.24418157016022e-97,0.963054187192118
"31","2-Hydroxyphenylacetate","Pyruvate",9.64897300694742e-97,-0.810837438423645
"32","DHAP/D-GA3P","Ribulose 5-Phosphate",4.08267341105041e-96,0.864532019704433
"33","D-Leucic Acid","Glutaric Acid",2.13065482989846e-94,0.829556650246305
"34","1/3-Methylhistidine","S-Adenosylmethionine (SAM)",3.07677442347551e-94,0.801477832512315
"35","2-Hydroxyphenylacetate","Betaine",1.72869052303072e-92,0.779310344827586
"36","Azelaic Acid","D-Leucic Acid",5.32281815108479e-92,0.791133004926108
"37","Hypoxanthine","Xanthine",1.17912538076443e-91,0.876354679802955
"38","Hydrocinnamic Acid","Pyruvate",5.2626743376818e-89,-0.771428571428571
