"","rowname","colname","p_M","R_M"
"1","Erythrose-4-Phosphate","G6P",3.3226774912092e-214,0.994088669950739
"2","Cadaverine","Oxalacetate",3.97584974457732e-212,0.986699507389162
"3","1-Methylnicotinamide","Cadaverine",4.41444227392785e-212,0.98423645320197
"4","Erythrose-4-Phosphate","G1P/F1P/F6P",2.58470252583558e-210,0.987192118226601
"5","1-Methylnicotinamide","Oxalacetate",8.79390376760267e-205,0.982266009852216
"6","G1P/F1P/F6P","G6P",1.08868671131625e-190,0.988669950738916
"7","Azelaic Acid","Suberic Acid",6.98322041058197e-188,0.97192118226601
"8","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",3.39425990708615e-177,0.968472906403941
"9","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",2.70065196140001e-164,0.961083743842364
"10","Glycerol-3-P","Homocitrulline",1.03087136621653e-157,0.977832512315271
"11","ADP","NAD",9.51102288410731e-152,0.964532019704433
"12","S-Methylcysteine","Tyrosine",1.05608944805592e-147,0.954679802955665
"13","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",1.17643645146692e-142,0.920689655172414
"14","3-Hydroxyisovaleric Acid","Phenylacetic Acid",1.74285129729905e-139,0.903448275862069
"15","Glucose","Glyceraldehyde",5.62588220801654e-138,0.95320197044335
"16","Betaine","Maleic Acid",5.26552641585345e-134,0.885714285714285
"17","2-Hydroxyphenylacetate","Retinol",8.56702340552662e-130,0.885714285714285
"18","Hydrocinnamic Acid","S-Adenosylmethionine (SAM)",5.6468261915888e-129,-0.878325123152709
"19","Deoxyguanosine","Guanine",7.82534779148383e-129,0.973399014778325
"20","3-Hydroxyisovaleric Acid","Hydrocinnamic Acid",1.19168951672607e-127,0.882266009852217
"21","Glutaric Acid","Retinol",1.29922395080363e-127,0.88423645320197
"22","2-Hydroxyphenylacetate","Glutaric Acid",9.43450942000194e-127,0.892610837438423
"23","Cadaverine","SAH",5.01455055780402e-126,-0.867487684729064
"24","Betaine","Citraconic Acid",7.64760793665605e-126,0.902463054187192
"25","Citraconic Acid","SAH",3.92400716130131e-125,-0.86551724137931
"26","Cadaverine","Citraconic Acid",9.38522577557474e-124,0.873399014778325
"27","1-Methylnicotinamide","SAH",7.18278087988382e-123,-0.867980295566502
"28","1-Methylnicotinamide","Palmitic Acid",7.53251713557805e-122,0.894088669950739
"29","Oxalacetate","SAH",6.67294325501912e-121,-0.845812807881773
"30","Azelaic Acid","Glutaric Acid",1.05114096481338e-120,0.905418719211822
"31","Citraconic Acid","Urate",1.62995374357841e-120,0.872906403940886
"32","Hydrocinnamic Acid","Maleic Acid",1.23544759175914e-119,0.811822660098522
"33","Oxalacetate","Palmitic Acid",1.31304537415503e-119,0.893103448275862
"34","Citraconic Acid","Oxalacetate",2.35460705311897e-119,0.850738916256157
"35","Betaine","Hydrocinnamic Acid",4.15250627971787e-119,0.833497536945813
"36","Pyridoxamine","Urate",1.16374023347517e-118,0.906403940886699
"37","Glutaric Acid","Suberic Acid",4.49530283538589e-117,0.923645320197044
"38","Cadaverine","Palmitic Acid",5.27233193261793e-115,0.870443349753694
