"","rowname","colname","p_M","R_M"
"1","Hydrocinnamic Acid","S-Adenosylmethionine (SAM)",5.6468261915888e-129,-0.878325123152709
"2","Betaine","S-Adenosylmethionine (SAM)",5.30434417440637e-115,-0.870935960591133
"3","1-Methylnicotinamide","SAH",7.18278087988382e-123,-0.867980295566502
"4","Cadaverine","SAH",5.01455055780402e-126,-0.867487684729064
"5","Citraconic Acid","SAH",3.92400716130131e-125,-0.86551724137931
"6","Phenylacetic Acid","S-Adenosylmethionine (SAM)",9.22230933822593e-107,-0.850246305418719
"7","Oxalacetate","SAH",6.67294325501912e-121,-0.845812807881773
"8","Glutaric Acid","S-Adenosylmethionine (SAM)",2.48690093881499e-106,-0.842364532019704
"9","1-Methylnicotinamide","S-Adenosylmethionine (SAM)",1.2461898098049e-81,-0.838916256157635
"10","Maleic Acid","S-Adenosylmethionine (SAM)",3.49221636828969e-114,-0.83743842364532
"11","Choline","S-Adenosylmethionine (SAM)",4.22809117179022e-96,-0.836945812807882
"12","Oxalacetate","S-Adenosylmethionine (SAM)",1.89078323392245e-86,-0.835467980295566
"13","Cadaverine","S-Adenosylmethionine (SAM)",3.13760179850677e-83,-0.833497536945813
"14","PEP","Phenylacetic Acid",2.05962716904488e-108,-0.828571428571428
"15","3-Hydroxyisovaleric Acid","PEP",1.13398848457814e-112,-0.82807881773399
"16","Glutaric Acid","UDP-GlcNAc",2.34896002754043e-106,-0.827093596059113
"17","3-Hydroxyisovaleric Acid","S-Adenosylmethionine (SAM)",2.61904950660419e-106,-0.822167487684729
"18","Citraconic Acid","S-Adenosylmethionine (SAM)",1.01769110871375e-92,-0.815270935960591
"19","2-isoPropylmalic Acid","Uridine",8.67689546385863e-73,-0.800492610837438
