"","rowname","colname","p_M","R_M"
"1","Erythrose-4-Phosphate","G6P",3.3226774912092e-214,0.994088669950739
"2","G1P/F1P/F6P","G6P",1.08868671131625e-190,0.988669950738916
"3","Erythrose-4-Phosphate","G1P/F1P/F6P",2.58470252583558e-210,0.987192118226601
"4","Cadaverine","Oxalacetate",3.97584974457732e-212,0.986699507389162
"5","1-Methylnicotinamide","Cadaverine",4.41444227392785e-212,0.98423645320197
"6","1-Methylnicotinamide","Oxalacetate",8.79390376760267e-205,0.982266009852216
"7","Glycerol-3-P","Homocitrulline",1.03087136621653e-157,0.977832512315271
"8","Deoxyguanosine","Guanine",7.82534779148383e-129,0.973399014778325
"9","Azelaic Acid","Suberic Acid",6.98322041058197e-188,0.97192118226601
"10","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",3.39425990708615e-177,0.968472906403941
"11","ADP","NAD",9.51102288410731e-152,0.964532019704433
"12","2-Aminoisobutyric Acid","3-Aminoisobutyrate",2.03667693685431e-101,0.962068965517241
"13","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",2.70065196140001e-164,0.961083743842364
"14","S-Methylcysteine","Tyrosine",1.05608944805592e-147,0.954679802955665
"15","Glucose","Glyceraldehyde",5.62588220801654e-138,0.95320197044335
"16","Lactose/Trehalose","UMP",5.26789573350804e-101,0.939901477832512
"17","Guanosine","Xanthosine",1.46424938391651e-65,0.933004926108374
"18","Glutaric Acid","Suberic Acid",4.49530283538589e-117,0.923645320197044
"19","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",1.17643645146692e-142,0.920689655172414
"20","Pyridoxamine","Urate",1.16374023347517e-118,0.906403940886699
"21","Azelaic Acid","Glutaric Acid",1.05114096481338e-120,0.905418719211822
"22","Adipic Acid / 3-Methylglutaric Acid","Glutaric Acid",3.53397647257343e-111,0.904433497536946
"23","3-Hydroxyisovaleric Acid","Phenylacetic Acid",1.74285129729905e-139,0.903448275862069
"24","Betaine","Citraconic Acid",7.64760793665605e-126,0.902463054187192
"25","1-Methylnicotinamide","Palmitic Acid",7.53251713557805e-122,0.894088669950739
"26","Oxalacetate","Palmitic Acid",1.31304537415503e-119,0.893103448275862
"27","2-Hydroxyphenylacetate","Glutaric Acid",9.43450942000194e-127,0.892610837438423
"28","Betaine","Cadaverine",1.82449016340155e-106,0.888177339901478
"29","Betaine","Maleic Acid",5.26552641585345e-134,0.885714285714285
"30","2-Hydroxyphenylacetate","Retinol",8.56702340552662e-130,0.885714285714285
"31","Glutaric Acid","Retinol",1.29922395080363e-127,0.88423645320197
"32","3-Hydroxyisovaleric Acid","Hydrocinnamic Acid",1.19168951672607e-127,0.882266009852217
"33","Cadaverine","Citraconic Acid",9.38522577557474e-124,0.873399014778325
"34","Citraconic Acid","Urate",1.62995374357841e-120,0.872906403940886
"35","gamma-Aminobutyrate","Glutamic acid",5.79561209007948e-54,0.872906403940886
"36","GMP","IMP",2.70472014497289e-92,0.872413793103448
"37","Ergocalciferol","Retinol",4.71853403699651e-113,0.87192118226601
"38","Citraconic Acid","Maleic Acid",3.09402156308607e-110,0.87192118226601
"39","Betaine","Oxalacetate",3.61326458898445e-106,0.87192118226601
"40","Cadaverine","Palmitic Acid",5.27233193261793e-115,0.870443349753694
"41","1-Methylnicotinamide","Betaine",7.13095636743492e-101,0.869458128078818
"42","Glutaric Acid","Maleic Acid",1.85534252574365e-114,0.865024630541872
"43","1-Methylnicotinamide","Hydrocinnamic Acid",5.83850531540269e-101,0.86256157635468
