"","rowname","colname","p_means","R_means"
"1","Erythrose-4-Phosphate","G1P/F1P/F6P",1.66962747924124e-267,0.993786336091544
"2","Cadaverine","Oxalacetate",1.05319743704763e-247,0.984927250915131
"3","G1P/F1P/F6P","G6P",2.89723435057125e-243,0.992740471869328
"4","Erythrose-4-Phosphate","G6P",1.71465785476256e-231,0.995016764588268
"5","1-Methylnicotinamide","Oxalacetate",8.21478861145847e-225,0.982650958196192
"6","1-Methylnicotinamide","Cadaverine",9.3209990691433e-220,0.983758343843243
"7","Azelaic Acid","Suberic Acid",4.17848382333327e-218,0.975022301516503
"8","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",4.99359195514233e-218,0.978898151281183
"9","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",5.85085691681856e-209,0.979205758405365
"10","S-Methylcysteine","Tyrosine",1.11968424701097e-188,0.969669937555753
"11","Glucosamine","Glyceraldehyde",5.48740624770753e-180,0.935340982497154
"12","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",6.32807558095449e-176,0.949921560183334
"13","4-Guanidinobutanoate","Deoxycarnitine",3.71332331745356e-160,0.944938324771601
"14","Pyridoxamine","Urate",2.36197553928113e-159,0.930849918484112
"15","1/3-Methylhistidine","Choline",1.03340829342198e-154,-0.86791350087668
"16","2-Hydroxyphenylacetate","Glutaric Acid",1.02774628420796e-150,0.86176135839306
"17","Cadaverine","Urate",1.82387914611339e-149,0.883047771386385
"18","3-Hydroxyisovaleric Acid","Phenylacetic Acid",1.29740178234683e-146,0.86612937955643
"19","Oxalacetate","Urate",1.05188170378523e-145,0.869082407948568
"20","Betaine","Maleic Acid",3.32287882195292e-141,0.859115937125104
"21","1-Methylnicotinamide","Urate",2.29373224598758e-140,0.877879971700144
"22","1-Methylnicotinamide","Palmitic Acid",1.65001463827167e-139,0.900458334615029
"23","3-Hydroxyisovaleric Acid","Choline",5.7250946850585e-136,0.836291488510874
"24","Choline","PEP",2.19196451860279e-134,-0.844166230889907
"25","Alpha-Ketoglutaric Acid","Pyruvate",3.00499383334531e-130,0.86612937955643
"26","Glucose","Glyceraldehyde",5.0255195220172e-130,0.943215724876188
"27","cAMP","cGMP",5.41870534525622e-130,0.902057891660771
"28","Betaine","S-Adenosylmethionine (SAM)",3.15477821544487e-129,-0.846504045033683
"29","1/3-Methylhistidine","3-Hydroxyisovaleric Acid",6.90750295339036e-129,-0.786397612968716
"30","2-Hydroxyphenylacetate","Cholecalciferol",2.54934148549662e-128,0.837521917007598
"31","3-Hydroxyisovaleric Acid","3HBA",6.80443813925372e-128,0.803069919099326
"32","Indole-3-Carboxylic Acid","Palmitic Acid",3.003754500221e-126,0.805284690393429
"33","Indole-2-Carboxylic Acid","Palmitic Acid",1.38183221970254e-125,0.793841705373896
"34","1/3-Methylhistidine","Phenylacetic Acid",2.49640992169497e-125,-0.760312528838168
"35","Oxalacetate","Phenylacetic Acid",2.23746033645857e-124,0.854378787412716
"36","Cadaverine","Phenylacetic Acid",6.8393330355385e-124,0.860530929896336
"37","Cadaverine","Palmitic Acid",2.84266392633885e-123,0.881940385739334
"38","Oxalacetate","Palmitic Acid",3.8470009228884e-123,0.878556707373343
"39","Glycerol-3-P","Homocitrulline",5.3717559946717e-123,0.969854501830262
"40","3HBA","Choline",5.78495696854835e-123,0.764372942877357
"41","Azelaic Acid","Glutaric Acid",1.72761755605667e-122,0.914608262327355
"42","Ergocalciferol","Retinol",3.70953898319018e-122,0.852840751791811
"43","Maleic Acid","Succinylcarnitine",2.46798834696631e-121,-0.752622350733643
"44","Deoxyguanosine","Guanine",4.71831101605852e-120,0.977667722784459
"45","3-Hydroxyisovaleric Acid","PEP",1.01451821132285e-119,-0.761296871635547
"46","1/3-Methylhistidine","PEP",2.8294921639734e-119,0.765234242825064
"47","Hydrocinnamic Acid","S-Adenosylmethionine (SAM)",3.99568226311143e-119,-0.745978036851333
"48","DHAP/D-GA3P","Ribulose 5-Phosphate",4.02435286764319e-119,0.867544372327663
"49","Cadaverine","Pyridoxamine",6.91029735660915e-119,0.809406625857455
"50","2-Hydroxyphenylacetate","D-Leucic Acid",1.99321762673968e-118,0.727521609400474
"51","Maleic Acid","Retinol",6.5639383247174e-118,0.727706173674982
"52","Oxalacetate","Pyridoxamine",1.95270439993645e-117,0.798271247962103
"53","Choline","Phenylacetic Acid",1.07538927449363e-116,0.776800270694269
"54","3-(4-Hydroxyphenyl)Propionate","Choline",1.05394668493286e-115,0.762096650158417
"55","Glucosamine","Glucose",2.29229883990135e-115,0.887046664000738
"56","3HBA","PEP",2.39503056865287e-115,-0.719277738472423
"57","Betaine","Citraconic Acid",5.21543401281347e-115,0.791873019779138
"58","Cholecalciferol","Glutaric Acid",5.89646952105604e-115,0.78633609154388
"59","1-Methylnicotinamide","Phenylacetic Acid",1.92631735925165e-114,0.862315051216586
"60","Hydrocinnamic Acid","Maleic Acid",2.4906092952004e-114,0.740625672890584
"61","1-Methylnicotinamide","Indole-3-Carboxylic Acid",4.57326468121798e-114,0.799501676458827
"62","Betaine","Hydrocinnamic Acid",9.07377667667321e-114,0.74733150819773
"63","1-Methyladenosine","Indole-3-Carboxylic Acid",9.92134896079808e-114,0.753176043557169
"64","D-Leucic Acid","Glutaric Acid",1.92620981556899e-113,0.804238826171214
"65","1-Methyladenosine","Biopterin",2.42816081326982e-113,0.756006029099634
"66","Phenylacetic Acid","Urate",4.86454086674925e-113,0.759758836014642
"67","ADP","NAD",5.70364892062087e-113,0.913623919529976
"68","Betaine","Phenylacetic Acid",1.59661717937626e-112,0.791934541203974
"69","Hydrocinnamic Acid","UDP-GlcNAc",2.50825003668742e-112,-0.666984527361653
"70","Arginine","Cadaverine",4.9968013539777e-112,0.778338306315174
"71","Betaine","Retinol",5.60936709017729e-112,0.73275093051155
"72","1-Methylnicotinamide","Indole-2-Carboxylic Acid",9.64071615987996e-112,0.770648128210649
"73","1/3-Methylhistidine","3HBA",1.82229216675551e-111,-0.657694792211387
"74","1-Methylnicotinamide","Pyridoxamine",1.98850285103133e-111,0.804423390445723
"75","Betaine","Succinylcarnitine",3.40987172600491e-111,-0.70863453197576
"76","3-Hydroxyisovaleric Acid","Retinol",8.26992261180268e-111,0.740625672890584
"77","Maleic Acid","Pyruvate",1.89957879415118e-110,-0.79734842658956
"78","Biopterin","Indole-2-Carboxylic Acid",2.48530296463035e-110,0.691470054446461
"79","Lactose/Trehalose","UMP",2.96800365791693e-110,0.964194530745332
"80","Glutaric Acid","Suberic Acid",2.97652563651379e-110,0.918853240641053
"81","1-Methyladenosine","Indole-2-Carboxylic Acid",3.20087393564488e-110,0.728259866498508
"82","1/3-Methylhistidine","Urate",7.83020010044939e-110,-0.794887569596112
"83","2-Hydroxyphenylacetate","Maleic Acid",3.23694831903054e-109,0.813220954197299
"84","1-Methyladenosine","Palmitic Acid",3.31281138907266e-109,0.756375157648651
"85","Arginine","Oxalacetate",7.34890916006947e-109,0.763388600079978
"86","S-Adenosylmethionine (SAM)","UDP-GlcNAc",9.30615341472321e-109,0.73890307299517
"87","Arginine","Urate",1.0911185962251e-108,0.741486972838291
"88","S-Adenosylmethionine (SAM)","Succinylcarnitine",2.15049189558657e-108,0.717001445753483
"89","Phenylacetic Acid","S-Adenosylmethionine (SAM)",2.30344203873424e-108,-0.792611276877172
"90","Cholecalciferol","D-Leucic Acid",3.15405098277404e-108,0.66218585622443
"91","1-Methylnicotinamide","Arginine",4.21713735952279e-108,0.764249900027684
"92","Biopterin","Indole-3-Carboxylic Acid",2.93028425911319e-107,0.679596419453074
"93","3-(4-Hydroxyphenyl)Propionate","Erythrose-4-Phosphate",5.87497331311775e-107,-0.748869543818635
"94","Glucosamine","PEP",1.08595694805447e-106,0.734781137531145
"95","2-Aminoisobutyric Acid","Alanine",1.15402368233325e-106,0.807930111661386
"96","Azelaic Acid","Cholecalciferol",1.27841995054717e-106,0.795318219569965
"97","3-Hydroxyisovaleric Acid","Betaine",3.2538692241063e-106,0.818634839582885
"98","Maleic Acid","S-Adenosylmethionine (SAM)",6.26983617983752e-106,-0.742286751361161
"99","1/3-Methylhistidine","Glucosamine",9.4520263282068e-106,0.70475868221108
"100","Choline","Urate",1.13791225749998e-105,0.804238826171214
"101","Retinol","Succinylcarnitine",5.47939231558485e-105,-0.674797748315851
"102","Cadaverine","Indole-3-Carboxylic Acid",6.89345289372284e-105,0.797225383739887
"103","3-Hydroxyisovaleric Acid","Maleic Acid",8.81627030948621e-105,0.830323910301762
"104","Choline","Glucosamine",1.3468296687282e-104,-0.75557537912578
"105","3-(4-Hydroxyphenyl)Propionate","3-Hydroxyisovaleric Acid",2.30186549083494e-104,0.721369466916854
"106","3HBA","Phenylacetic Acid",5.57921618797221e-104,0.675043834015196
"107","1/3-Methylhistidine","Betaine",6.13667386891962e-104,-0.794887569596112
"108","Alpha-Ketoglutaric Acid","Betaine",8.22463267595798e-104,-0.801593404903257
"109","Guanosine","Xanthosine",8.51134842019964e-104,0.972069273124365
"110","2-Hydroxyphenylacetate","Hydrocinnamic Acid",9.30429595582751e-104,0.789227598511181
"111","Maleic Acid","UDP-GlcNAc",9.74615261478351e-104,-0.718847088498569
"112","Phenylacetic Acid","Retinol",1.26263140170166e-103,0.695776554184995
"113","Arginine","Glyceraldehyde",2.08188050529048e-103,-0.723645759635793
"114","Biopterin","Palmitic Acid",2.14576275250134e-103,0.702174782367959
"115","3-Hydroxyisovaleric Acid","Cadaverine",2.30985206680564e-103,0.799132547909809
"116","1-Methylnicotinamide","Biopterin",3.27727337001646e-103,0.722107724014888
"117","Indole-3-Carboxylic Acid","Oxalacetate",3.42801156661626e-103,0.776738749269433
"118","Palmitic Acid","Urate",3.42801156661626e-103,0.799071026484973
"119","3-Hydroxyisovaleric Acid","Oxalacetate",3.92466312988194e-103,0.792549755452336
"120","3-(4-Hydroxyphenyl)Propionate","G1P/F1P/F6P",5.95863281077904e-103,-0.748008243870928
"121","1/3-Methylhistidine","Oxalacetate",5.97924874003372e-103,-0.790950198406595
"122","Cadaverine","Indole-2-Carboxylic Acid",6.4805833032734e-103,0.765111199975391
