"","rowname","colname","p_means","R_means"
"1","1/3-Methylhistidine","Choline",1.03340829342198e-154,-0.86791350087668
"2","Betaine","S-Adenosylmethionine (SAM)",3.15477821544487e-129,-0.846504045033683
"3","Choline","PEP",2.19196451860279e-134,-0.844166230889907
"4","Choline","Erythrose-4-Phosphate",2.5731115316962e-96,-0.83456888861546
"5","Cadaverine","S-Adenosylmethionine (SAM)",7.03728035485658e-89,-0.834261281491279
"6","Oxalacetate","S-Adenosylmethionine (SAM)",8.60477934538463e-89,-0.833215417269064
"7","Choline","Pyruvate",3.32041599468923e-94,-0.829770217478237
"8","Choline","S-Adenosylmethionine (SAM)",1.11564628600821e-96,-0.826017410563228
"9","Choline","G1P/F1P/F6P",1.32756692900508e-92,-0.818696361007721
"10","Alpha-Ketoglutaric Acid","Betaine",8.22463267595798e-104,-0.801593404903257
"11","1-Methylnicotinamide","S-Adenosylmethionine (SAM)",7.17780288993965e-80,-0.801593404903257
"12","Choline","G6P",3.43797093146671e-85,-0.800116890707188
