"","rowname","colname","p_means","R_means"
"1","Erythrose-4-Phosphate","G6P",1.71465785476256e-231,0.995016764588268
"2","Erythrose-4-Phosphate","G1P/F1P/F6P",1.66962747924124e-267,0.993786336091544
"3","G1P/F1P/F6P","G6P",2.89723435057125e-243,0.992740471869328
"4","Cadaverine","Oxalacetate",1.05319743704763e-247,0.984927250915131
"5","1-Methylnicotinamide","Cadaverine",9.3209990691433e-220,0.983758343843243
"6","1-Methylnicotinamide","Oxalacetate",8.21478861145847e-225,0.982650958196192
"7","Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",5.85085691681856e-209,0.979205758405365
"8","Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",4.99359195514233e-218,0.978898151281183
"9","Deoxyguanosine","Guanine",4.71831101605852e-120,0.977667722784459
"10","Azelaic Acid","Suberic Acid",4.17848382333327e-218,0.975022301516503
"11","Guanosine","Xanthosine",8.51134842019964e-104,0.972069273124365
"12","Glycerol-3-P","Homocitrulline",5.3717559946717e-123,0.969854501830262
"13","S-Methylcysteine","Tyrosine",1.11968424701097e-188,0.969669937555753
"14","Lactose/Trehalose","UMP",2.96800365791693e-110,0.964194530745332
"15","2-Aminoisobutyric Acid","3-Aminoisobutyrate",6.02756280223455e-95,0.962718016549263
"16","Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",6.32807558095449e-176,0.949921560183334
"17","4-Guanidinobutanoate","Deoxycarnitine",3.71332331745356e-160,0.944938324771601
"18","Glucose","Glyceraldehyde",5.0255195220172e-130,0.943215724876188
"19","Glucosamine","Glyceraldehyde",5.48740624770753e-180,0.935340982497154
"20","Pyridoxamine","Urate",2.36197553928113e-159,0.930849918484112
"21","Glutaric Acid","Suberic Acid",2.97652563651379e-110,0.918853240641053
"22","Azelaic Acid","Glutaric Acid",1.72761755605667e-122,0.914608262327355
"23","ADP","NAD",5.70364892062087e-113,0.913623919529976
"24","cAMP","cGMP",5.41870534525622e-130,0.902057891660771
"25","1-Methylnicotinamide","Palmitic Acid",1.65001463827167e-139,0.900458334615029
"26","Adipic Acid / 3-Methylglutaric Acid","Glutaric Acid",9.76606407100062e-98,0.890799470915746
"27","Glucosamine","Glucose",2.29229883990135e-115,0.887046664000738
"28","Cadaverine","Urate",1.82387914611339e-149,0.883047771386385
"29","Cadaverine","Palmitic Acid",2.84266392633885e-123,0.881940385739334
"30","Oxalacetate","Palmitic Acid",3.8470009228884e-123,0.878556707373343
"31","1-Methylnicotinamide","Urate",2.29373224598758e-140,0.877879971700144
"32","Oxalacetate","Urate",1.05188170378523e-145,0.869082407948568
"33","DHAP/D-GA3P","Ribulose 5-Phosphate",4.02435286764319e-119,0.867544372327663
"34","3-Hydroxyisovaleric Acid","Phenylacetic Acid",1.29740178234683e-146,0.86612937955643
"35","Alpha-Ketoglutaric Acid","Pyruvate",3.00499383334531e-130,0.86612937955643
"36","Hypoxanthine","Xanthine",8.90312428186018e-95,0.865698729582577
"37","1-Methylnicotinamide","Phenylacetic Acid",1.92631735925165e-114,0.862315051216586
"38","2-Hydroxyphenylacetate","Glutaric Acid",1.02774628420796e-150,0.86176135839306
"39","Cadaverine","Phenylacetic Acid",6.8393330355385e-124,0.860530929896336
"40","Betaine","Maleic Acid",3.32287882195292e-141,0.859115937125104
"41","Oxalacetate","Phenylacetic Acid",2.23746033645857e-124,0.854378787412716
"42","Ergocalciferol","Retinol",3.70953898319018e-122,0.852840751791811
"43","Glutaric Acid","Maleic Acid",9.1536052629442e-103,0.851979451844105
"44","2-Hydroxyphenylacetate","Cholecalciferol",2.54934148549662e-128,0.837521917007598
"45","GMP","IMP",7.35347951020482e-82,0.837460395582762
"46","3-Hydroxyisovaleric Acid","Choline",5.7250946850585e-136,0.836291488510874
"47","Betaine","Urate",1.71088858552269e-95,0.834322802916115
"48","3-Hydroxyisovaleric Acid","Maleic Acid",8.81627030948621e-105,0.830323910301762
"49","Betaine","Cadaverine",2.62626813153164e-90,0.819065489556738
"50","3-Hydroxyisovaleric Acid","Betaine",3.2538692241063e-106,0.818634839582885
"51","Cadaverine","Choline",5.47971556673125e-100,0.817342889661324
"52","Adenine","Adenosine",6.46155354422792e-85,0.817219846811652
"53","Cysteinyl-Glycine (Cys-Gly)","Oxidized Glutathione",4.70732521421477e-48,0.816358546863945
"54","Betaine","Choline",5.68741110421081e-97,0.814758989818204
"55","2-Hydroxyphenylacetate","Maleic Acid",3.23694831903054e-109,0.813220954197299
"56","Cadaverine","Pyridoxamine",6.91029735660915e-119,0.809406625857455
"57","2-Aminoisobutyric Acid","Alanine",1.15402368233325e-106,0.807930111661386
"58","2-Hydroxyphenylacetate","Azelaic Acid",1.61475481458034e-100,0.806822726014334
"59","Indole-3-Carboxylic Acid","Palmitic Acid",3.003754500221e-126,0.805284690393429
"60","1-Methylnicotinamide","Pyridoxamine",1.98850285103133e-111,0.804423390445723
"61","D-Leucic Acid","Glutaric Acid",1.92620981556899e-113,0.804238826171214
"62","Choline","Urate",1.13791225749998e-105,0.804238826171214
"63","3-Hydroxyisovaleric Acid","3HBA",6.80443813925372e-128,0.803069919099326
"64","2-Hydroxyphenylacetate","Suberic Acid",1.0217526675552e-92,0.802331662001292
