"","rowname","colname","p_SD","R_SD"
"1","1-Methyladenosine","1-Methylnicotinamide",0.00434973522133092,0.587684729064039
"2","1-Methyladenosine","1/3-Methylhistidine",0.00710584482803625,-0.65615763546798
"3","1-Methyladenosine","2-isoPropylmalic Acid",0.018639637471519,0.496551724137931
"4","1-Methyladenosine","3-(4-Hydroxyphenyl)Propionate",0.0478172301943482,0.527586206896552
"5","1-Methyladenosine","3-Methyl-3-Hydroxyglutaric Acid",0.0109674125863994,-0.575862068965517
"6","1-Methyladenosine","4-Guanidinobutanoate",0.0404227177725023,-0.564039408866995
"7","1-Methyladenosine","5'-Methylthioadenosine",0.010927179524702,-0.0251231527093596
"8","1-Methyladenosine","6-Methyladenosine",0.00848900739947651,-0.387684729064039
"9","1-Methyladenosine","Adenosine",0.0126213935578027,0.303940886699507
"10","1-Methyladenosine","Aminolevulinate",2.09943404259233e-06,-0.700492610837438
"11","1-Methyladenosine","Arginine",0.0103318779809345,0.54679802955665
"12","1-Methyladenosine","Asparagine",0.00538177976186843,-0.480295566502463
"13","1-Methyladenosine","Betaine",0.0399443659563983,0.512315270935961
"14","1-Methyladenosine","Biopterin",0.00176846082427665,0.741379310344827
"15","1-Methyladenosine","Cadaverine",0.00229125305049342,0.61871921182266
"16","1-Methyladenosine","Citraconic Acid",0.00320302838627265,0.533497536945813
"17","1-Methyladenosine","Cystathionine",0.0398963520554953,-0.455172413793103
"18","1-Methyladenosine","Ethanolamine",0.0417879748975921,-0.43448275862069
"19","1-Methyladenosine","FAD",0.0228050138655109,0.444334975369458
"20","1-Methyladenosine","gamma-Aminobutyrate",0.00475775676602378,-0.605911330049261
"21","1-Methyladenosine","Glutamic acid",0.0495949396638643,-0.331527093596059
"22","1-Methyladenosine","GMP",0.0140877838703172,0.267487684729064
"23","1-Methyladenosine","Homoarginine",0.00526588391628039,-0.526108374384236
"24","1-Methyladenosine","Homocitrulline",0.00990863204432905,-0.57192118226601
"25","1-Methyladenosine","IMP",0.0217437531158407,0.303940886699507
"26","1-Methyladenosine","Indole-2-Carboxylic Acid",2.1585983225853e-05,0.673399014778325
"27","1-Methyladenosine","Indole-3-Carboxylic Acid",5.02475700248385e-05,0.596551724137931
"28","1-Methyladenosine","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.0164348661000257,-0.445320197044335
"29","1-Methyladenosine","Leucine /D-Norleucine",0.0209111506787852,-0.334975369458128
"30","1-Methyladenosine","Margaric Acid",0.0488817066724237,0.185221674876847
"31","1-Methyladenosine","N6-Acetyl-Lysine",0.00242593142992813,-0.532512315270936
"32","1-Methyladenosine","N6-Trimethyllysine",0.00677349928362747,-0.340886699507389
