"rowname","colname","p_SD","R_SD"
"Betaine","SAH",8.47884549936449e-08,-0.922167487684729
"Cadaverine","SAH",4.90183659205136e-09,-0.918226600985221
"Oxalacetate","SAH",2.84445444649405e-08,-0.915763546798029
"Betaine","S-Adenosylmethionine (SAM)",1.14677230454636e-09,-0.896059113300492
"N6-Acetyl-Lysine","Oxalacetate",1.45007491659435e-08,-0.8935960591133
"Glutaric Acid","S-Adenosylmethionine (SAM)",9.34523686348975e-08,-0.886699507389162
"S-Adenosylmethionine (SAM)","Suberic Acid",7.5871809507386e-08,-0.881773399014778
"Arginine","Succinylcarnitine",9.27388479684104e-07,-0.880788177339901
"Azelaic Acid","S-Adenosylmethionine (SAM)",3.30101823321894e-08,-0.879310344827586
"1-Methylnicotinamide","SAH",7.16782387717996e-07,-0.877832512315271
"Betaine","Succinylcarnitine",3.97159601104743e-07,-0.87192118226601
"Cadaverine","N6-Acetyl-Lysine",8.95201065552415e-08,-0.869950738916256
"Adipic Acid / 3-Methylglutaric Acid","S-Adenosylmethionine (SAM)",3.82849910507404e-07,-0.866502463054187
"1-Methylnicotinamide","N6-Acetyl-Lysine",1.23121865143533e-07,-0.86551724137931
"Choline","S-Adenosylmethionine (SAM)",1.49391419711432e-07,-0.85320197044335
"Arginine","SAH",1.26929597278988e-05,-0.844827586206896
"Trigonelline","Uracil",1.64788404781165e-06,-0.839901477832512
"Maleic Acid","SAH",5.59650934362001e-06,-0.838916256157635
"Maleic Acid","UDP-GlcNAc",5.26900839253048e-06,-0.834975369458128
"2-Hydroxyphenylacetate","Argininosuccinate",1.32416675251952e-06,-0.831034482758621
"Argininosuccinate","Maleic Acid",1.25189035948618e-06,-0.824630541871921
"Alpha-Ketoglutaric Acid","D-Leucic Acid",0.00110323802316225,-0.823645320197044
"Glycerophosphocholine","Hydrocinnamic Acid",0.00462213159169203,-0.823645320197044
"Citraconic Acid","SAH",9.68133336900595e-07,-0.821182266009852
"Maleic Acid","S-Adenosylmethionine (SAM)",7.12539079346323e-06,-0.820689655172414
"1/3-Methylhistidine","Betaine",7.6744452448966e-06,-0.819211822660098
"Suberic Acid","Uracil",4.49584379800894e-05,-0.816256157635468
"Glutaric Acid","PEP",2.54168781914567e-05,-0.815270935960591
"Retinol","S-Adenosylmethionine (SAM)",0.000155832317494564,-0.814778325123153
"Glycerophosphocholine","Urate",0.000566191202589099,-0.807881773399015
"Cholecalciferol","S-Adenosylmethionine (SAM)",0.000621710282365834,-0.807389162561576
"D-Leucic Acid","Pyruvate",1.31234778096794e-05,-0.805418719211823
"1/3-Methylhistidine","Oxalacetate",7.81439180116677e-05,-0.803940886699507
"Oxalacetate","Succinylcarnitine",2.28398121074739e-05,-0.802463054187192
"Suberic Acid","Succinylcarnitine",5.45990875289129e-05,-0.800985221674877
"1/3-Methylhistidine","Cadaverine",5.17911881761223e-05,-0.800492610837438
