"rowname","colname","p_SD","R_SD"
"Cadaverine","Oxalacetate",3.15272890214444e-22,0.989162561576354
"G1P/F1P/F6P","G6P",4.71497777475509e-18,0.987684729064039
"1-Methylnicotinamide","Cadaverine",5.71802220255865e-18,0.985221674876847
"Erythrose-4-Phosphate","G1P/F1P/F6P",5.87955944885604e-18,0.982266009852216
"1-Methylnicotinamide","Oxalacetate",7.99661977748705e-19,0.978817733990147
"Erythrose-4-Phosphate","G6P",1.50913430072036e-18,0.978325123152709
"Azelaic Acid","Suberic Acid",1.95030223694768e-18,0.97487684729064
"Adipic Acid / 3-Methylglutaric Acid","Suberic Acid",8.03487498666656e-19,0.971428571428571
"Deoxyguanosine","Guanine",5.33964765165822e-18,0.954187192118226
"2-Aminoisobutyric Acid","3-Aminoisobutyrate",8.00447580428948e-13,0.945320197044335
"Adipic Acid / 3-Methylglutaric Acid","Azelaic Acid",3.31678817170961e-13,0.944827586206896
"Cholecalciferol","Retinol",1.63127635544342e-11,0.93448275862069
"Indole-2-Carboxylic Acid","Indole-3-Carboxylic Acid",4.89200702829955e-16,0.932512315270936
"Azelaic Acid","Glutaric Acid",9.30141494084465e-13,0.931034482758621
"Glutaric Acid","Suberic Acid",6.73739084868831e-15,0.930541871921182
"GMP","IMP",1.08090422113369e-13,0.921182266009852
"GMP","NAD",3.18305255697438e-10,0.919211822660098
"Pyridoxamine","Urate",2.86725436812969e-11,0.917241379310345
"Lactose/Trehalose","UMP",8.23764579686391e-10,0.914285714285714
"Guanosine","Xanthosine",1.33265215466835e-10,0.910837438423645
"Glycerol-3-P","Homocitrulline",1.84409274047578e-10,0.90935960591133
"S-Methylcysteine","Tyrosine",1.86148171822677e-13,0.908866995073891
"Glucose","Glyceraldehyde",2.44346302617151e-11,0.908374384236453
"Adipic Acid / 3-Methylglutaric Acid","Glutaric Acid",1.01578890913268e-12,0.902463054187192
"Betaine","Maleic Acid",2.35624135586771e-09,0.898029556650246
"Glutaric Acid","Maleic Acid",2.31165714239059e-08,0.896059113300492
"Adipic Acid / 3-Methylglutaric Acid","Cholecalciferol",7.11046297415405e-07,0.892118226600985
