"rowname","colname","p_means","R_means","pvalue","R_squared","p_F_all","R_F_all","p_F","R_F","p_M_all","R_M_all","p_M","R_M","p_SD","R_SD"
"1/3-Methylhistidine","Choline",1.03340829342198e-154,-0.86791350087668,2.98242930828374e-138,-0.819264523310073,5.37263810610269e-57,-0.623062576371471,3.41877794376034e-59,-0.69064039408867,6.84607453110691e-102,-0.693569601753745,8.9087119348693e-79,-0.648768472906404,0.000326633850170282,-0.700492610837438
"Betaine","S-Adenosylmethionine (SAM)",3.15477821544487e-129,-0.846504045033683,4.17150097870863e-118,-0.766830771865234,4.96992360861717e-61,-0.614927004952087,5.02412277902839e-53,-0.630049261083744,5.5811492749041e-118,-0.815381804895872,5.30434417440637e-115,-0.870935960591133,1.14677230454636e-09,-0.896059113300492
"Choline","PEP",2.19196451860279e-134,-0.844166230889907,7.4322076022535e-136,-0.812509097136007,2.19046939444891e-68,-0.613897999871374,1.10696237856849e-54,-0.65615763546798,2.89032535415742e-108,-0.767080745341615,8.43829820014037e-86,-0.763054187192118,1.16949058198695e-05,-0.767980295566502
"Choline","Erythrose-4-Phosphate",2.5731115316962e-96,-0.83456888861546,4.85004281271565e-102,-0.792688043152532,3.8256201475625e-59,-0.676506527750981,4.77529908829665e-49,-0.731034482758621,5.88581962364738e-60,-0.677018633540373,1.57665170015086e-53,-0.717241379310345,0.00864385942362919,-0.600492610837438
"Cadaverine","S-Adenosylmethionine (SAM)",7.03728035485658e-89,-0.834261281491279,1.89683552321588e-79,-0.766308489233272,2.41201529258305e-35,-0.598109203164191,8.64556869731715e-41,-0.685714285714286,2.40621195922189e-94,-0.831348191450493,3.13760179850677e-83,-0.833497536945813,0.000134820716255091,-0.788669950738916
"Oxalacetate","S-Adenosylmethionine (SAM)",8.60477934538463e-89,-0.833215417269064,3.13775288358776e-78,-0.779892118669464,4.77424821520648e-38,-0.660106759277124,1.13834499233823e-41,-0.713793103448276,2.93689127738673e-91,-0.823785166240409,1.89078323392245e-86,-0.835467980295566,0.000178007625819433,-0.797044334975369
"Choline","Pyruvate",3.32041599468923e-94,-0.829770217478237,6.80846427308303e-74,-0.70522282631962,5.79878477232292e-51,-0.628497009453984,2.04626621695907e-53,-0.716748768472906,7.00199008772116e-56,-0.581476068688345,3.809835930867e-63,-0.724630541871921,0.000643244138465512,-0.667487684729064
"Choline","S-Adenosylmethionine (SAM)",1.11564628600821e-96,-0.826017410563228,6.8193819917121e-84,-0.749252964596087,1.63220445183631e-64,-0.671747379252685,2.81369397024942e-67,-0.72807881773399,1.35676370554629e-103,-0.799890390938984,4.22809117179022e-96,-0.836945812807882,1.49391419711432e-07,-0.85320197044335
"Choline","G1P/F1P/F6P",1.32756692900508e-92,-0.818696361007721,2.17070639228139e-90,-0.766625283616593,5.27215724511331e-49,-0.658659720882372,3.37040700222023e-47,-0.725615763546798,2.39905682242244e-52,-0.643332115454878,1.30455317128881e-54,-0.707389162561576,0.040187652437162,-0.517733990147783
"Alpha-Ketoglutaric Acid","Betaine",8.22463267595798e-104,-0.801593404903257,1.24777830794116e-81,-0.640190076629993,6.54523415225581e-46,-0.447745835745064,1.95958726895253e-82,-0.727093596059113,8.61534796678299e-51,-0.538253562294483,6.72996354858363e-37,-0.523645320197044,NA,NA
"1-Methylnicotinamide","S-Adenosylmethionine (SAM)",7.17780288993965e-80,-0.801593404903257,2.65980688153312e-70,-0.736602594289139,2.61209175795181e-27,-0.551225159174223,4.75095980200992e-28,-0.582758620689655,4.64606368582733e-87,-0.805809280233833,1.2461898098049e-81,-0.838916256157635,0.00052169238630177,-0.764532019704433
"Choline","G6P",3.43797093146671e-85,-0.800116890707188,3.53212070050255e-85,-0.738477674557986,2.40143195573688e-42,-0.602257379895813,2.45953290593921e-37,-0.683251231527093,1.49263545564277e-47,-0.617245158933139,1.36479889457367e-47,-0.686699507389162,NA,NA
"1/3-Methylhistidine","Cadaverine",9.89305858844656e-102,-0.799563197883663,1.92679182954793e-100,-0.799828759792799,6.36787157235029e-37,-0.610457264132742,3.51958334690381e-35,-0.61871921182266,9.51373479639716e-82,-0.703105590062112,8.79664332238452e-62,-0.639408866995074,5.17911881761223e-05,-0.800492610837438
"Maleic Acid","Pyruvate",1.89957879415118e-110,-0.79734842658956,1.48037501165785e-89,-0.650661415300313,2.05286189863539e-53,-0.532767380538941,1.33971095257175e-81,-0.714778325123153,1.89287653973792e-52,-0.528534892217757,5.63231426832908e-43,-0.576354679802956,0.000214266520823586,-0.703448275862069
"1/3-Methylhistidine","Urate",7.83020010044939e-110,-0.794887569596112,4.7841494882691e-97,-0.757506742583159,1.7939598952875e-55,-0.645282654833108,8.18560526546808e-70,-0.71871921182266,2.25697147392936e-59,-0.557690902447936,2.55102178390013e-49,-0.489655172413793,1.36686370815096e-05,-0.740886699507389
"1/3-Methylhistidine","Betaine",6.13667386891962e-104,-0.794887569596112,8.94715475053897e-105,-0.73417526435207,9.04885885590462e-61,-0.570615473663901,2.01230420786251e-57,-0.617733990147783,1.77305977812588e-83,-0.642966751918159,6.32730404320493e-64,-0.633004926108374,7.6744452448966e-06,-0.819211822660098
"Phenylacetic Acid","S-Adenosylmethionine (SAM)",2.30344203873424e-108,-0.792611276877172,7.95918709637701e-93,-0.651988526906118,2.80183021677031e-44,-0.48723390571741,2.9770410679291e-43,-0.495566502463054,9.16732070113723e-89,-0.695359883083668,9.22230933822593e-107,-0.850246305418719,0.00316575491689143,-0.692610837438424
"1/3-Methylhistidine","Oxalacetate",5.97924874003372e-103,-0.790950198406595,6.57203775207246e-99,-0.79217432253093,1.35997792864708e-39,-0.646375972731365,1.47215274428712e-36,-0.622167487684729,2.73582024087312e-79,-0.679393496529046,5.31753121088843e-67,-0.672413793103448,7.81439180116677e-05,-0.803940886699507
"1/3-Methylhistidine","3-Hydroxyisovaleric Acid",6.90750295339036e-129,-0.786397612968716,3.65437862917151e-112,-0.700239736290081,2.94259266108734e-41,-0.406424850472699,3.07792105021701e-46,-0.460098522167488,2.94734964597359e-98,-0.643916697113628,2.6685875624425e-90,-0.744334975369458,0.00107629356631203,-0.661083743842364
"Erythrose-4-Phosphate","Taurine",4.71047179756315e-100,-0.782029591805346,3.50032289209051e-102,-0.754642750117728,7.65867761495455e-36,-0.491414238857804,6.71246945064734e-25,-0.488177339901478,1.50659049204718e-86,-0.702447935696018,4.45132760109655e-54,-0.650246305418719,0.0464849755823524,-0.549261083743842
"Glutaric Acid","Pyruvate",2.04248337887799e-92,-0.78147589898182,8.26831830976075e-84,-0.680992337000728,9.64035575943052e-70,-0.647501447038395,4.15647231476408e-82,-0.76551724137931,6.44080864914137e-57,-0.559079283887468,1.30562275461088e-54,-0.644334975369458,4.06807025097162e-06,-0.798522167487685
"Betaine","Pyruvate",2.01365250028795e-97,-0.779384170537389,3.57773565041914e-72,-0.628502932488548,1.16312058239102e-49,-0.542124895491672,6.14038789171871e-65,-0.680295566502463,1.42929468912067e-41,-0.455060284983559,2.56559477903425e-39,-0.533990147783251,0.00149630185403398,-0.624630541871921
"S-Adenosylmethionine (SAM)","Urate",1.07296966979395e-87,-0.772001599557046,1.60602616469166e-76,-0.713031379767969,2.21593103505352e-51,-0.644221493343624,1.02291662137278e-65,-0.678817733990148,8.2747073238344e-78,-0.704165144318597,3.4602578741133e-73,-0.744827586206896,0.000181182550611521,-0.683743842364532
